Unnamed: 0,Transaccion,Precio,Superficie,Antiguedad,VPO,Calefaccion,Habitaciones,Ascensor,Garaje,Precio_m2
1,1,36294.0,52,43.73,0,Electrica,Entre 2 y 3,No,Si,697.9615
2,2,37267.97,55,38.32,1,Central,Entre 2 y 3,Si,No,677.5995
3,3,37267.97,78,38.32,0,Central,Entre 2 y 3,No,No,477.7945
4,4,37514.55,64,13.61,1,Gas,Entre 2 y 3,Si,Si,586.1648
5,5,37933.0,50,41.73,1,Electrica,Entre 2 y 3,No,No,758.66
6,6,38530.0,52,31.7,0,Electrica,Entre 2 y 3,No,No,740.9615
7,7,39000.0,55,31.64,0,Central,Entre 2 y 3,No,No,709.0909
8,8,39065.78,48,34.73,1,Central,Entre 2 y 3,No,No,813.8704
9,9,39065.79,56,44.95,0,Central,Entre 2 y 3,Si,Si,697.6034
10,10,39066.0,63,68.08,0,No,Entre 2 y 3,No,No,620.0952
11,11,39682.44,71,42.96,0,Central,Entre 2 y 3,No,No,558.9076
12,12,40000.0,63,41.36,1,No,Entre 2 y 3,No,No,634.9206
13,13,40600.0,64,40.69,0,Electrica,Entre 2 y 3,No,No,634.375
14,14,41100.0,40,29.7,0,Electrica,Entre 2 y 3,Si,Si,1027.5
15,15,41184.95,60,32.41,1,No,Entre 2 y 3,No,Si,686.4158
16,16,41203.92,52,42.28,1,Central,Entre 2 y 3,No,No,792.3831
17,17,41840.0,52,37.68,1,Gas,Entre 2 y 3,No,No,804.6154
18,18,41866.92,64,35.42,0,Central,Entre 2 y 3,Si,No,654.1706
19,19,41866.92,64,35.42,0,Central,Entre 2 y 3,Si,No,654.1706
20,20,41915.0,50,42.21,1,Central,Entre 2 y 3,No,No,838.3
21,21,42021.0,56,40.44,1,No,Entre 2 y 3,No,No,750.375
22,22,42070.85,115,39.94,1,Central,Mas de 3,Si,No,365.8335
23,23,42071.0,62,39.53,1,Electrica,Entre 2 y 3,No,No,678.5645
24,24,42131.57,91,53.21,1,No,Entre 2 y 3,No,No,462.9843
25,25,42704.28,64,35.49,0,No,Entre 2 y 3,Si,No,667.2544
26,26,43258.0,56,34.3,0,Central,Entre 2 y 3,No,No,772.4643
27,27,43677.84,56,38.72,1,Gas,Entre 2 y 3,No,No,779.9614
28,28,44500.0,65,35.47,1,No,Entre 2 y 3,No,No,684.6154
29,29,45000.0,69,35.36,0,No,Entre 2 y 3,No,No,652.1739
30,30,45075.0,68,44.15,1,Electrica,Entre 2 y 3,No,No,662.8676
31,31,45493.0,50,40.91,1,No,Entre 2 y 3,No,No,909.86
32,32,45500.0,48,42.34,1,Central,Menos de 2,No,No,947.9167
33,33,45631.99,65,39.88,1,Central,Entre 2 y 3,No,No,702.0306
34,34,45750.0,76,27.64,1,Gas,Entre 2 y 3,Si,No,601.9737
35,35,47129.84,71,23.56,1,Gas,Entre 2 y 3,Si,Si,663.8006
36,36,47179.5,58,43.52,1,Central,Entre 2 y 3,No,No,813.4397
37,37,48080.0,50,45.08,0,Electrica,Entre 2 y 3,No,No,961.6
38,38,48080.97,58,26.4,0,Central,Menos de 2,Si,No,828.9822
39,39,48135.72,65,39.36,1,Gas,Entre 2 y 3,No,No,740.5495
40,40,48135.72,65,39.36,1,Gas,Entre 2 y 3,No,No,740.5495
41,41,48793.84,79,35.38,1,No,Entre 2 y 3,Si,No,617.6435
42,42,48793.84,78,38.38,0,Gas,Entre 2 y 3,Si,No,625.5621
43,43,49583.5,56,42.49,0,No,Entre 2 y 3,No,No,885.4196
44,44,50000.0,66,40.42,1,Central,Entre 2 y 3,No,No,757.5758
45,45,50000.0,61,33.76,0,No,Entre 2 y 3,No,No,819.6721
46,46,50216.29,56,36.66,0,Central,Entre 2 y 3,Si,No,896.7195
47,47,50970.0,68,37.49,1,Electrica,Entre 2 y 3,Si,No,749.5588
48,48,51000.0,75,30.58,1,Electrica,Entre 2 y 3,Si,Si,680.0
49,49,51086.0,68,31.62,1,Electrica,Entre 2 y 3,Si,No,751.2647
50,50,51086.0,68,37.48,0,No,Mas de 3,Si,No,751.2647
51,51,51086.03,185,62.57,0,No,Mas de 3,Si,Si,276.1407
52,52,52000.0,40,35.06,0,Electrica,Entre 2 y 3,No,No,1300.0
53,53,52450.0,70,33.87,0,Central,Entre 2 y 3,No,No,749.2857
54,54,52910.0,75,15.73,1,Gas,Entre 2 y 3,Si,Si,705.4667
55,55,53000.0,61,32.68,0,Gas,Entre 2 y 3,No,Si,868.8525
56,56,53565.0,50,23.92,0,Gas,Entre 2 y 3,Si,Si,1071.3
57,57,54000.0,52,31.91,0,Electrica,Entre 2 y 3,No,No,1038.4615
58,58,54091.09,40,40.69,0,No,Entre 2 y 3,No,No,1352.2772
59,59,54100.0,83,42.26,1,Gas,Entre 2 y 3,No,No,651.8072
60,60,54125.0,65,68.32,0,Electrica,Entre 2 y 3,No,Si,832.6923
61,61,54130.0,70,34.7,0,Central,Entre 2 y 3,No,No,773.2857
62,62,54368.0,84,47.3,0,Gas,Entre 2 y 3,No,No,647.2381
63,63,54593.86,63,32.21,0,No,Entre 2 y 3,Si,No,866.5692
64,64,55000.0,64,28.39,1,Central,Entre 2 y 3,Si,Si,859.375
65,65,55248.9,80,15.76,1,Gas,Entre 2 y 3,Si,No,690.6113
