Precio,Superficie,Antiguedad,VPO,Calefaccion,Habitaciones,Ascensor,Garaje,Precio_m2,cluster
36294.0,52,43.73,0,1,2,0,1,697.9615,2
37267.97,55,38.32,1,0,2,1,0,677.5995,1
37267.97,78,38.32,0,0,2,0,0,477.7945,2
37514.55,64,13.61,1,2,2,1,1,586.1648,1
37933.0,50,41.73,1,1,2,0,0,758.66,2
38530.0,52,31.7,0,1,2,0,0,740.9615,2
39000.0,55,31.64,0,0,2,0,0,709.0909,2
39065.78,48,34.73,1,0,2,0,0,813.8704,2
39065.79,56,44.95,0,0,2,1,1,697.6034,1
39066.0,63,68.08,0,3,2,0,0,620.0952,2
39682.44,71,42.96,0,0,2,0,0,558.9076,2
40000.0,63,41.36,1,3,2,0,0,634.9206,2
40600.0,64,40.69,0,1,2,0,0,634.375,2
41100.0,40,29.7,0,1,2,1,1,1027.5,1
41184.95,60,32.41,1,3,2,0,1,686.4158,2
41203.92,52,42.28,1,0,2,0,0,792.3831,2
41840.0,52,37.68,1,2,2,0,0,804.6154,2
41866.92,64,35.42,0,0,2,1,0,654.1706,1
41866.92,64,35.42,0,0,2,1,0,654.1706,1
41915.0,50,42.21,1,0,2,0,0,838.3,2
42021.0,56,40.44,1,3,2,0,0,750.375,2
42070.85,115,39.94,1,0,3,1,0,365.8335,0
42071.0,62,39.53,1,1,2,0,0,678.5645,2
42131.57,91,53.21,1,3,2,0,0,462.9843,2
42704.28,64,35.49,0,3,2,1,0,667.2544,1
43258.0,56,34.3,0,0,2,0,0,772.4643,2
43677.84,56,38.72,1,2,2,0,0,779.9614,2
44500.0,65,35.47,1,3,2,0,0,684.6154,2
45000.0,69,35.36,0,3,2,0,0,652.1739,2
45075.0,68,44.15,1,1,2,0,0,662.8676,2
45493.0,50,40.91,1,3,2,0,0,909.86,2
45500.0,48,42.34,1,0,2,0,0,947.9167,2
45631.99,65,39.88,1,0,2,0,0,702.0306,2
45750.0,76,27.64,1,2,2,1,0,601.9737,1
47129.84,71,23.56,1,2,2,1,1,663.8006,1
47179.5,58,43.52,1,0,2,0,0,813.4397,2
48080.0,50,45.08,0,1,2,0,0,961.6,2
48080.97,58,26.4,0,0,2,1,0,828.9822,1
48135.72,65,39.36,1,2,2,0,0,740.5495,2
48135.72,65,39.36,1,2,2,0,0,740.5495,2
48793.84,79,35.38,1,3,2,1,0,617.6435,1
48793.84,78,38.38,0,2,2,1,0,625.5621,1
49583.5,56,42.49,0,3,2,0,0,885.4196,2
50000.0,66,40.42,1,0,2,0,0,757.5758,2
50000.0,61,33.76,0,3,2,0,0,819.6721,2
50216.29,56,36.66,0,0,2,1,0,896.7195,1
50970.0,68,37.49,1,1,2,1,0,749.5588,1
51000.0,75,30.58,1,1,2,1,1,680.0,1
51086.0,68,31.62,1,1,2,1,0,751.2647,1
51086.0,68,37.48,0,3,3,1,0,751.2647,0
51086.03,185,62.57,0,3,3,1,1,276.1407,0
52000.0,40,35.06,0,1,2,0,0,1300.0,2
52450.0,70,33.87,0,0,2,0,0,749.2857,2
52910.0,75,15.73,1,2,2,1,1,705.4667,1
53000.0,61,32.68,0,2,2,0,1,868.8525,2
53565.0,50,23.92,0,2,2,1,1,1071.3,1
54000.0,52,31.91,0,1,2,0,0,1038.4615,2
54091.09,40,40.69,0,3,2,0,0,1352.2772,2
54100.0,83,42.26,1,2,2,0,0,651.8072,2
54125.0,65,68.32,0,1,2,0,1,832.6923,2
54130.0,70,34.7,0,0,2,0,0,773.2857,2
54368.0,84,47.3,0,2,2,0,0,647.2381,2
54593.86,63,32.21,0,3,2,1,0,866.5692,1
55000.0,64,28.39,1,0,2,1,1,859.375,1
55248.9,80,15.76,1,2,2,1,0,690.6113,1
55593.62,48,42.65,1,3,2,0,0,1158.2004,2
55610.55,60,35.89,0,3,2,1,0,926.8425,1
56161.81,74,37.28,0,0,2,0,0,758.9434,2
56495.0,56,36.53,0,3,2,0,0,1008.8393,2
56810.32,69,28.98,0,0,2,1,1,823.338,1
57096.0,48,39.9,0,0,2,0,0,1189.5,2
57096.0,60,40.61,1,3,2,1,0,951.6,1
57096.15,62,42.35,0,3,2,0,0,920.9056,2
57644.6,78,4.28,1,2,2,1,1,739.0333,1
57760.0,78,37.49,1,0,2,0,0,740.5128,2
57822.54,76,36.74,0,0,2,0,0,760.8229,2
58209.5,68,36.1,0,3,2,1,1,856.0221,1
58731.58,74,31.94,0,0,2,1,0,793.67,1
59305.0,68,13.42,0,0,2,1,0,872.1324,1
59400.0,84,24.56,0,2,2,1,1,707.1429,1
59500.0,40,25.1,0,2,2,1,0,1487.5,1
59697.03,71,36.88,0,2,2,1,0,840.8032,1
60000.0,40,28.02,0,3,2,1,0,1500.0,1
60000.0,48,41.98,0,0,2,0,0,1250.0,2
60000.0,55,38.89,1,3,2,0,0,1090.9091,2
60000.0,74,32.76,1,2,2,1,1,810.8108,1
60000.0,55,53.98,0,2,2,0,0,1090.9091,2
60000.0,59,32.44,1,0,2,1,1,1016.9492,1
60000.0,83,45.09,1,0,2,1,0,722.8916,1
60000.0,105,26.91,0,0,3,1,0,571.4286,0
60000.0,95,44.43,1,0,3,0,0,631.5789,0
60100.0,72,32.36,1,3,2,1,1,834.7222,1
60100.0,52,33.3,0,1,2,1,0,1155.7692,1
60101.0,40,42.69,1,3,2,0,0,1502.525,2
60101.0,75,35.65,0,3,2,0,1,801.3467,2
60101.21,56,39.99,1,0,2,0,0,1073.2359,2
60101.21,40,41.0,0,1,2,0,0,1502.5303,2
60101.21,52,58.01,1,1,2,0,1,1155.7925,2
60109.01,52,34.74,0,1,2,0,0,1155.9425,2
61155.0,70,31.35,0,0,2,1,1,873.6429,1
